route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
BX2,KB_B4-Weekday,KB_B4-Weekday-068200_BX2_211,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377745,BX020123
BX2,KB_B4-Weekday,KB_B4-Weekday-076500_BX1_109,MOTT HAVEN 138 ST via CONCOURSE,1,35377721,BX020113
BX2,KB_B4-Weekday,KB_B4-Weekday-086000_BX2_214,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377736,BX020123
BX2,KB_B4-Weekday,KB_B4-Weekday-104800_BX2_214,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377736,BX020123
BX2,KB_B4-Weekday,KB_B4-Weekday-114200_BX2_224,MOTT HAVEN 138 ST via CONCOURSE,1,35377746,BX020113
BX1,KB_B4-Weekday,KB_B4-Weekday-123300_BX1_140,RIVERDALE 231 ST via CONCOURSE,0,35377707,BX010109
BX1,KB_B4-Weekday,KB_B4-Weekday-130300_BX1_143,MOTT HAVEN 138 ST via CONCOURSE,1,35377707,BX010104
BX1,KB_B4-Weekday,KB_B4-Weekday-138700_BX1_143,RIVERDALE 231 ST via CONCOURSE,0,35377707,BX010109
BX1,KB_B4-Weekday,KB_B4-Weekday-145900_BX1_143,MOTT HAVEN 138 ST via CONCOURSE,1,35377707,BX010104
BX1,KB_B4-Weekday,KB_B4-Weekday-152600_BX1_143,RIVERDALE 231 ST via CONCOURSE,0,35377707,BX010109
BX2,KB_B4-Weekday,KB_B4-Weekday-045400_BX1_105,MOTT HAVEN 138 ST via CONCOURSE,1,35377706,BX020113
BX2,KB_B4-Weekday,KB_B4-Weekday-053200_BX2_213,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377747,BX020123
BX2,KB_B4-Weekday,KB_B4-Weekday-062100_BX2_213,MOTT HAVEN 138 ST via CONCOURSE,1,35377747,BX020113
BX1,KB_B4-Weekday,KB_B4-Weekday-070800_BX2_202,LIMITED RIVERDALE 231 ST via CONCOURSE,0,35377727,BX010106
BX1,KB_B4-Weekday,KB_B4-Weekday-077700_BX1_103,LIMITED MOTT HAVEN 138 ST via CONCOURSE,1,35377736,BX010107
BX1,KB_B4-Weekday,KB_B4-Weekday-086600_BX1_109,LIMITED RIVERDALE 231 ST via CONCOURSE,0,35377721,BX010106
BX1,KB_B4-Weekday,KB_B4-Weekday-094100_BX1_139,LIMITED MOTT HAVEN 138 ST via CONCOURSE,1,35377735,BX010107
BX1,KB_B4-Weekday,KB_B4-Weekday-102900_BX1_139,LIMITED RIVERDALE 231 ST via CONCOURSE,0,35377735,BX010106
BX1,KB_B4-Weekday,KB_B4-Weekday-111100_BX1_139,LIMITED MOTT HAVEN 138 ST via CONCOURSE,1,35377735,BX010107
BX1,KB_B4-Weekday,KB_B4-Weekday-119400_BX1_131,LIMITED RIVERDALE 231 ST via CONCOURSE,0,35377705,BX010106
BX1,KB_B4-Weekday,KB_B4-Weekday-125500_BX1_139,MOTT HAVEN 138 ST via CONCOURSE,1,35377735,BX010104
BX1,KB_B4-Weekday,KB_B4-Weekday-134600_BX1_142,RIVERDALE 231 ST via CONCOURSE,0,35377735,BX010109
BX1,KB_B4-Weekday,KB_B4-Weekday-141900_BX1_142,MOTT HAVEN 138 ST via CONCOURSE,1,35377735,BX010104
BX1,KB_B4-Weekday,KB_B4-Weekday-149600_BX1_142,RIVERDALE 231 ST via CONCOURSE,0,35377735,BX010109
BX1,KB_B4-Weekday,KB_B4-Weekday-045700_BX2_213,LIMITED MOTT HAVEN 138 ST via CONCOURSE,1,35377747,BX010107
BX1,KB_B4-Weekday,KB_B4-Weekday-053100_BX1_123,LIMITED RIVERDALE 231 ST via CONCOURSE,0,35377725,BX010106
BX1,KB_B4-Weekday,KB_B4-Weekday-046500_BX2_202,LIMITED MOTT HAVEN 138 ST via CONCOURSE,1,35377737,BX010107
BX1,KB_B4-Weekday,KB_B4-Weekday-053900_BX1_105,LIMITED RIVERDALE 231 ST via CONCOURSE,0,35377706,BX010106
BX1,KB_B4-Weekday,KB_B4-Weekday-062300_BX1_125,LIMITED MOTT HAVEN 138 ST via CONCOURSE,1,35377727,BX010107
BX1,KB_B4-Weekday,KB_B4-Weekday-069600_BX1_103,LIMITED RIVERDALE 231 ST via CONCOURSE,0,35377736,BX010106
BX1,KB_B4-Weekday,KB_B4-Weekday-076700_BX2_207,LIMITED MOTT HAVEN 138 ST via CONCOURSE,1,35377746,BX010107
BX1,KB_B4-Weekday,KB_B4-Weekday-085600_BX2_223,LIMITED RIVERDALE 231 ST via CONCOURSE,0,35377720,BX010106
BX1,KB_B4-Weekday,KB_B4-Weekday-093400_BX2_221,LIMITED MOTT HAVEN 138 ST via CONCOURSE,1,35377720,BX010107
BX1,KB_B4-Weekday,KB_B4-Weekday-102100_BX2_221,LIMITED RIVERDALE 231 ST via CONCOURSE,0,35377720,BX010106
BX1,KB_B4-Weekday,KB_B4-Weekday-069700_BX1_131,LIMITED MOTT HAVEN 138 ST via CONCOURSE,1,35377714,BX010107
BX1,KB_B4-Weekday,KB_B4-Weekday-077600_BX2_219,LIMITED RIVERDALE 231 ST via CONCOURSE,0,35377712,BX010106
BX1,KB_B4-Weekday,KB_B4-Weekday-085200_BX2_219,LIMITED MOTT HAVEN 138 ST via CONCOURSE,1,35377712,BX010107
BX1,KB_B4-Weekday,KB_B4-Weekday-094200_BX1_105,LIMITED RIVERDALE 231 ST via CONCOURSE,0,35377732,BX010106
BX1,KB_B4-Weekday,KB_B4-Weekday-101900_BX1_132,LIMITED MOTT HAVEN 138 ST via CONCOURSE,1,35377712,BX010107
BX1,KB_B4-Weekday,KB_B4-Weekday-110600_BX2_217,LIMITED RIVERDALE 231 ST via CONCOURSE,0,35377748,BX010106
BX1,KB_B4-Weekday,KB_B4-Weekday-078700_BX2_202,LIMITED MOTT HAVEN 138 ST via CONCOURSE,1,35377727,BX010107
BX1,KB_B4-Weekday,KB_B4-Weekday-087600_BX1_135,LIMITED RIVERDALE 231 ST via CONCOURSE,0,35377725,BX010106
BX1,KB_B4-Weekday,KB_B4-Weekday-094900_BX1_108,LIMITED MOTT HAVEN 138 ST via CONCOURSE,1,35377721,BX010107
BX1,KB_B4-Weekday,KB_B4-Weekday-103600_BX1_108,LIMITED RIVERDALE 231 ST via CONCOURSE,0,35377721,BX010106
BX1,KB_B4-Weekday,KB_B4-Weekday-081100_BX2_220,LIMITED MOTT HAVEN 138 ST via CONCOURSE,1,35377749,BX010107
BX1,KB_B4-Weekday,KB_B4-Weekday-090000_BX1_118,LIMITED RIVERDALE 231 ST via CONCOURSE,0,35377707,BX010106
BX1,KB_B4-Weekday,KB_B4-Weekday-097000_BX2_212,LIMITED MOTT HAVEN 138 ST via CONCOURSE,1,35377747,BX010107
BX2,KB_B4-Weekday,KB_B4-Weekday-106500_BX2_230,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377754,BX020123
BX2,KB_B4-Weekday,KB_B4-Weekday-116200_BX2_230,MOTT HAVEN 138 ST via CONCOURSE,1,35377754,BX020113
BX1,KB_B4-Weekday,KB_B4-Weekday-124300_BX1_133,RIVERDALE 231 ST via CONCOURSE,0,35377754,BX010109
BX2,KB_B4-Weekday,KB_B4-Weekday-083200_BX2_221,MOTT HAVEN 138 ST via CONCOURSE,1,35377748,BX020113
BX1,KB_B4-Weekday,KB_B4-Weekday-093500_BX1_132,LIMITED RIVERDALE 231 ST via CONCOURSE,0,35377712,BX010106
BX1,KB_B4-Weekday,KB_B4-Weekday-100900_BX2_228,LIMITED MOTT HAVEN 138 ST via CONCOURSE,1,35377710,BX010107
BX1,KB_B4-Weekday,KB_B4-Weekday-109800_BX1_133,LIMITED RIVERDALE 231 ST via CONCOURSE,0,35377730,BX010106
BX1,KB_B4-Weekday,KB_B4-Weekday-086700_BX1_134,LIMITED MOTT HAVEN 138 ST via CONCOURSE,1,35377702,BX010107
BX1,KB_B4-Weekday,KB_B4-Weekday-095600_BX1_127,LIMITED RIVERDALE 231 ST via CONCOURSE,0,35377715,BX010106
BX1,KB_B4-Weekday,KB_B4-Weekday-103900_BX2_226,LIMITED MOTT HAVEN 138 ST via CONCOURSE,1,35377740,BX010107
BX2,KB_B4-Weekday,KB_B4-Weekday-112400_BX2_216,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377738,BX020123
BX1,KB_B4-Weekday,KB_B4-Weekday-088100_BX1_126,LIMITED MOTT HAVEN 138 ST via CONCOURSE,1,35377718,BX010107
BX2,KB_B4-Weekday,KB_B4-Weekday-097100_BX1_138,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377752,BX020123
BX1,KB_B4-Weekday,KB_B4-Weekday-092600_BX1_119,LIMITED MOTT HAVEN 138 ST via CONCOURSE,1,35377705,BX010107
BX1,KB_B4-Weekday,KB_B4-Weekday-101400_BX1_128,LIMITED RIVERDALE 231 ST via CONCOURSE,0,35377741,BX010106
BX1,KB_B4-Weekday,KB_B4-Weekday-109600_BX2_221,LIMITED MOTT HAVEN 138 ST via CONCOURSE,1,35377720,BX010107
BX2,KB_B4-Weekday,KB_B4-Weekday-117800_BX2_222,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377722,BX020123
BX2,KB_B4-Weekday,KB_B4-Weekday-125200_BX2_226,MOTT HAVEN 138 ST via CONCOURSE,1,35377753,BX020113
BX2,KB_B4-Weekday,KB_B4-Weekday-132800_BX2_226,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377753,BX020123
BX2,KB_B4-Weekday,KB_B4-Weekday-029400_BX2_201,MOTT HAVEN 138 ST via CONCOURSE,1,35377736,BX020117
BX2,KB_B4-Weekday,KB_B4-Weekday-035700_BX2_201,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377736,BX020123
BX2,KB_B4-Weekday,KB_B4-Weekday-042300_BX2_212,MOTT HAVEN 138 ST via CONCOURSE,1,35377746,BX020113
BX2,KB_B4-Weekday,KB_B4-Weekday-048900_BX1_119,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377721,BX020123
BX2,KB_B4-Weekday,KB_B4-Weekday-058700_BX2_211,MOTT HAVEN 138 ST via CONCOURSE,1,35377745,BX020113
BX1,KB_B4-Weekday,KB_B4-Weekday-067600_BX2_201,LIMITED RIVERDALE 231 ST via CONCOURSE,0,35377705,BX010106
BX1,KB_B4-Weekday,KB_B4-Weekday-075700_BX2_201,LIMITED MOTT HAVEN 138 ST via CONCOURSE,1,35377705,BX010107
